education_score,coastal_detailed,town_size,coastal_type
-2.61960053,Smaller non-coastal town,Small,Non-coastal
-0.694710135,Smaller non-coastal town,Small,Non-coastal
1.786845764,Smaller non-coastal town,Small,Non-coastal
-3.545088644,Smaller other coastal town,Small,Other coastal
-0.267530379,Large seaside town,Large,Seaside
0.962156076,Large non-coastal town,Large,Non-coastal
-0.018603517,Large non-coastal town,Large,Non-coastal
3.635315029,Smaller non-coastal town,Small,Non-coastal
-0.591112362,Large non-coastal town,Large,Non-coastal
1.065133309,Large non-coastal town,Large,Non-coastal
-2.97809053,Smaller seaside town,Small,Seaside
-3.51396738,Large non-coastal town,Large,Non-coastal
-0.350180645,Large non-coastal town,Large,Non-coastal
3.578455606,Smaller non-coastal town,Small,Non-coastal
5.137389166,Smaller non-coastal town,Small,Non-coastal
-2.290606339,Large non-coastal town,Large,Non-coastal
-3.02572797,Large seaside town,Large,Seaside
-3.931229503,Smaller non-coastal town,Small,Non-coastal
0.857448327,Smaller seaside town,Small,Seaside
-1.4383569,Smaller non-coastal town,Small,Non-coastal
-6.323355662,Smaller non-coastal town,Small,Non-coastal
3.921401314,Smaller non-coastal town,Small,Non-coastal
-3.027883777,Smaller non-coastal town,Small,Non-coastal
-5.199863605,Smaller non-coastal town,Small,Non-coastal
-7.990272297,Smaller non-coastal town,Small,Non-coastal
-2.139068773,Large non-coastal town,Large,Non-coastal
-1.904359509,Smaller non-coastal town,Small,Non-coastal
-3.202404945,Smaller non-coastal town,Small,Non-coastal
-7.115271286,Large non-coastal town,Large,Non-coastal
0.991929859,Large non-coastal town,Large,Non-coastal
-0.386972774,Large non-coastal town,Large,Non-coastal
2.818999959,Smaller non-coastal town,Small,Non-coastal
-3.421269258,Smaller non-coastal town,Small,Non-coastal
-2.967645079,Smaller seaside town,Small,Seaside
-0.616120391,Smaller non-coastal town,Small,Non-coastal
-0.946619749,Smaller seaside town,Small,Seaside
2.611989787,Smaller non-coastal town,Small,Non-coastal
-1.615392673,Smaller non-coastal town,Small,Non-coastal
-4.049889397,Large non-coastal town,Large,Non-coastal
-2.963099327,Smaller seaside town,Small,Seaside
3.491721847,Smaller non-coastal town,Small,Non-coastal
6.982570241,Smaller seaside town,Small,Seaside
-2.800825142,Smaller non-coastal town,Small,Non-coastal
-0.963323673,Smaller non-coastal town,Small,Non-coastal
1.800207789,Smaller non-coastal town,Small,Non-coastal
