education_score,coastal_detailed,town_size,coastal_type
-0.819387943,Smaller non-coastal town,Small,Non-coastal
-0.057763175,Large non-coastal town,Large,Non-coastal
-3.686982506,Smaller non-coastal town,Small,Non-coastal
-1.886243775,Smaller non-coastal town,Small,Non-coastal
0.373393758,Large non-coastal town,Large,Non-coastal
-0.390506169,Smaller seaside town,Small,Seaside
-2.762929262,Large non-coastal town,Large,Non-coastal
-2.993949093,Large non-coastal town,Large,Non-coastal
-1.026951308,Large non-coastal town,Large,Non-coastal
3.390375305,Smaller non-coastal town,Small,Non-coastal
-0.337939563,Large non-coastal town,Large,Non-coastal
-5.880445314,Large seaside town,Large,Seaside
1.727992942,Smaller non-coastal town,Small,Non-coastal
8.187997104,Smaller non-coastal town,Small,Non-coastal
-3.176983917,Large seaside town,Large,Seaside
3.192052251,Smaller non-coastal town,Small,Non-coastal
7.906404445,Smaller non-coastal town,Small,Non-coastal
-4.150583568,Large non-coastal town,Large,Non-coastal
8.0385394,Large seaside town,Large,Seaside
3.260302957,Smaller non-coastal town,Small,Non-coastal
-1.204139772,Smaller non-coastal town,Small,Non-coastal
-1.00595494,Smaller seaside town,Small,Seaside
-0.246186213,Smaller non-coastal town,Small,Non-coastal
1.121771906,Large non-coastal town,Large,Non-coastal
-4.759452482,Smaller non-coastal town,Small,Non-coastal
1.113331627,Large non-coastal town,Large,Non-coastal
9.531051428,Smaller non-coastal town,Small,Non-coastal
-2.933743211,Smaller non-coastal town,Small,Non-coastal
0.506789648,Smaller non-coastal town,Small,Non-coastal
-3.294958102,Large non-coastal town,Large,Non-coastal
2.093625537,Large non-coastal town,Large,Non-coastal
-4.510351252,Large non-coastal town,Large,Non-coastal
3.10267164,Large non-coastal town,Large,Non-coastal
-4.50551239,Large non-coastal town,Large,Non-coastal
-4.920193481,Large non-coastal town,Large,Non-coastal
-5.030709544,Large other coastal town,Large,Other coastal
0.580825095,Large non-coastal town,Large,Non-coastal
1.296418602,Large non-coastal town,Large,Non-coastal
-1.693781118,Large seaside town,Large,Seaside
3.296634679,Smaller non-coastal town,Small,Non-coastal
