birth-month,births,player-pct
JANUARY,542,0.09914029632339491
DECEMBER,361,0.06603255899030547
MAY,520,0.09511615145417962
OCTOBER,383,0.07005670385952076
SEPTEMBER,421,0.07700749954271081
AUGUST,394,0.0720687762941284
NOVEMBER,374,0.06841046277665996
MARCH,513,0.09383574172306566
FEBRUARY,533,0.09749405524053412
JUNE,463,0.08468995792939454
JULY,437,0.07993415035668557
APRIL,526,0.09621364550942016
