tconst,title_type,primary_title,original_title,is_adult,year,runtime_minutes,genres,simple_title,average_rating,num_votes
tt10516322,tvMovie,A Little Christmas Charm,A Little Christmas Charm,0,2020,84,Romance,a little christmas charm,6.8,1817
tt1053429,tvMovie,Larry the Cable Guy's Christmas Spectacular,Larry the Cable Guy's Christmas Spectacular,0,2007,60,Comedy,larry the cable guys christmas spectacular,3.5,268
tt1054055,tvMovie,The Trolls and the Christmas Express,The Trolls and the Christmas Express,0,1981,30,"Animation,Family",the trolls and the christmas express,7.1,47
tt10545474,movie,A Holiday Change,A Holiday Change,0,2019,87,Romance,a holiday change,5.8,29
tt10553910,tvMovie,Picture a Perfect Christmas,Picture a Perfect Christmas,0,2019,84,"Comedy,Drama,Romance",picture a perfect christmas,6.9,1911
tt10571920,tvMovie,Nostalgic Christmas,Nostalgic Christmas,0,2019,84,"Drama,Romance",nostalgic christmas,6.3,1451
tt10583460,tvMovie,Radio Christmas,Radio Christmas,0,2019,87,"Drama,Romance",radio christmas,6.1,556
tt10623478,tvMovie,Christmas Love Letter,Christmas Love Letter,0,2019,86,"Comedy,Drama,Mystery",christmas love letter,6.1,674
tt10627548,movie,Christmas on the Square,Christmas on the Square,0,2020,98,"Comedy,Family,Musical",christmas on the square,5.2,3075
tt10627564,tvMovie,Christmas at Dollywood,Christmas at Dollywood,0,2019,83,"Drama,Family,Romance",christmas at dollywood,6.1,1391
tt10635588,movie,A Christmas Wish,A Christmas Wish,0,2021,90,Family,a christmas wish,6.9,61
tt10642154,tvMovie,Christmas Reservations,Christmas Reservations,0,2019,86,"Comedy,Drama,Romance",christmas reservations,6.0,948
tt10642244,tvMovie,Snowbound for Christmas,Snowbound for Christmas,0,2019,83,"Comedy,Romance",snowbound for christmas,5.3,732
tt10650924,tvMovie,"Same Time, Next Christmas","Same Time, Next Christmas",0,2019,90,"Comedy,Drama,Romance",same time next christmas,6.0,1593
tt10659766,tvMovie,The Christmas High Note,The Christmas High Note,0,2020,85,Romance,the christmas high note,5.2,288
tt10667026,tvMovie,The Christmas Club,The Christmas Club,0,2019,84,"Comedy,Drama,Family",the christmas club,6.7,1644
tt1067106,movie,A Christmas Carol,A Christmas Carol,0,2009,96,"Adventure,Animation,Comedy",a christmas carol,6.8,128261
tt1067769,tvMovie,Christmas Caper,Christmas Caper,0,2006,88,"Comedy,Family,Fantasy",christmas caper,5.7,1051
tt10700392,tvMovie,The Road Home for Christmas,The Road Home for Christmas,0,2019,84,"Drama,Romance",the road home for christmas,6.8,783
tt10733770,movie,All I Want for Christmas 2,Julemandens datter 2,0,2020,92,"Adventure,Drama,Family",all i want for christmas 2,5.7,130
tt10742934,movie,Bad Christmas,La noche mágica,0,2021,93,"Comedy,Crime,Thriller",bad christmas,6.4,462
tt10754206,movie,Hip Hop Holiday,Hip Hop Holiday,0,2019,87,Comedy,hip hop holiday,6.8,100
tt10768194,tvMovie,A New York Christmas Wedding,A New York Christmas Wedding,0,2020,88,"Drama,Romance",a new york christmas wedding,5.4,1412
tt10768208,tvMovie,A Christmas Duet,A Christmas Duet,0,2019,84,"Drama,Music,Romance",a christmas duet,5.9,829
tt10768278,tvMovie,Christmas Scavenger Hunt,Christmas Scavenger Hunt,0,2019,82,"Comedy,Drama,Romance",christmas scavenger hunt,6.1,1427
tt10768312,tvMovie,Check Inn to Christmas,Check Inn to Christmas,0,2019,84,"Drama,Romance",check inn to christmas,6.8,1696
tt10768328,tvMovie,Double Holiday,Double Holiday,0,2019,84,"Drama,Romance",double holiday,6.8,1557
tt10768410,tvMovie,Christmas at Graceland: Home for the Holidays,Christmas at Graceland: Home for the Holidays,0,2019,84,"Music,Romance",christmas at graceland home for the holidays,6.2,1142
tt10768456,tvMovie,Holiday Date,Holiday Date,0,2019,84,"Comedy,Drama,Romance",holiday date,6.4,1817
tt1077081,tvMovie,Elmo's Christmas Countdown,Elmo's Christmas Countdown,0,2007,60,"Family,Music",elmos christmas countdown,6.2,343
tt1077093,video,The Nutcracker: A Christmas Story,The Nutcracker: A Christmas Story,0,1992,59,Music,the nutcracker a christmas story,7.6,17
tt10771556,tvMovie,A Very Corgi Christmas,A Very Corgi Christmas,0,2019,90,"Drama,Family,Romance",a very corgi christmas,5.4,731
tt10778144,movie,A Christmas Carol,A Christmas Carol,0,2019,73,Comedy,a christmas carol,4.8,46
tt10799008,tvMovie,A Date by Christmas Eve,The Naughty List,0,2019,93,"Comedy,Drama,Fantasy",a date by christmas eve,5.8,636
tt10804410,tvMovie,No Time Like Christmas,No Time Like Christmas,0,2019,85,"Comedy,Romance",no time like christmas,5.6,438
tt10808294,movie,Christmas on the Range,Christmas on the Range,0,2019,90,"Romance,Western",christmas on the range,6.2,728
tt1082815,movie,A Jersey Christmas,A Jersey Christmas,0,2008,81,Comedy,a jersey christmas,5.2,74
tt1083448,tvMovie,A Princess for Christmas,A Princess for Christmas,0,2011,91,"Comedy,Drama,Family",a princess for christmas,6.3,9100
tt1083987,video,Barney's Christmas Star,Barney's Christmas Star,0,2002,50,"Comedy,Family",barneys christmas star,6.8,43
tt1083992,tvMovie,Holiday Switch,Holiday Switch,0,2007,88,"Comedy,Fantasy",holiday switch,5.4,785
tt10840162,movie,Perfect Christmas,Täydellinen joulu,0,2019,95,Comedy,perfect christmas,5.4,445
tt10854916,tvMovie,A Christmas Crush,A Christmas Crush,0,2019,87,"Comedy,Romance",a christmas crush,4.5,794
tt10872952,tvMovie,The Gift of Christmas,The Gift of Christmas,0,2020,101,Drama,the gift of christmas,5.1,163
tt10873852,tvMovie,Staging Christmas,Staging Christmas,0,2019,85,"Drama,Family,Romance",staging christmas,5.5,569
tt10875028,tvMovie,Rock and Roll Christmas,Rock and Roll Christmas,0,2019,85,"Comedy,Drama,Family",rock and roll christmas,5.4,497
tt1087847,tvMovie,For Better or for Worse: A Christmas Angel,For Better or for Worse: A Christmas Angel,0,1992,30,"Animation,Family",for better or for worse a christmas angel,8.0,56
tt10887838,tvMovie,Rediscovering Christmas,Rediscovering Christmas,0,2019,87,"Comedy,Drama,Romance",rediscovering christmas,5.8,483
tt10887846,tvMovie,Christmas Hotel,Christmas Hotel,0,2019,88,"Comedy,Drama,Romance",christmas hotel,6.0,525
tt10887870,tvMovie,A Sweet Christmas Romance,A Sweet Christmas Romance,0,2019,87,"Comedy,Drama,Romance",a sweet christmas romance,6.2,818
tt10887880,tvMovie,Merry Liddle Christmas,Merry Liddle Christmas,0,2019,87,"Comedy,Drama,Romance",merry liddle christmas,5.9,685
tt1091175,tvMovie,Christopher the Christmas Tree,Christopher the Christmas Tree,0,1993,30,"Animation,Family,Musical",christopher the christmas tree,6.8,141
tt10921042,tvMovie,Christmas at the Plaza,Christmas at the Plaza,0,2019,84,"Drama,Romance",christmas at the plaza,6.5,3442
tt10921256,tvMovie,Always and Forever Christmas,Always and Forever Christmas,0,2019,87,"Comedy,Drama,Family",always and forever christmas,5.4,551
tt10922620,tvMovie,A Christmas Miracle,A Christmas Miracle,0,2019,83,Romance,a christmas miracle,6.4,660
tt10922632,tvMovie,Angel Falls: A Novel Holiday,Angel Falls: A Novel Holiday,0,2019,84,"Fantasy,Romance",angel falls a novel holiday,6.1,1077
tt10922658,tvMovie,Christmas Under the Stars,Christmas Under the Stars,0,2019,82,"Drama,Romance",christmas under the stars,6.7,2357
tt10925434,tvMovie,Holiday Hearts,Holiday Hearts,0,2019,86,Romance,holiday hearts,6.5,1169
tt10925460,tvMovie,Christmas in Evergreen: Tidings of Joy,Christmas in Evergreen: Tidings of Joy,0,2019,85,Romance,christmas in evergreen tidings of joy,6.4,1826
tt10925838,movie,A Beauty & The Beast Christmas,A Beauty & the Beast Christmas,0,2019,90,"Comedy,Drama,Romance",a beauty  the beast christmas,4.2,426
tt10926350,tvMovie,Another Christmas Coincidence,A Godwink Christmas: Meant for Love,0,2019,85,"Drama,Romance",another christmas coincidence,6.9,1857
tt10926390,tvMovie,A Family Christmas Gift,A Family Christmas Gift,0,2019,84,Romance,a family christmas gift,5.9,453
tt10936658,tvMovie,A Blue Ridge Mountain Christmas,A Blue Ridge Mountain Christmas,0,2019,84,Family,a blue ridge mountain christmas,6.2,1397
tt10952042,tvMovie,It's Beginning to Look a Lot Like Christmas,It's Beginning to Look a Lot Like Christmas,0,2019,83,"Comedy,Romance",its beginning to look a lot like christmas,6.1,1135
tt10953626,tvMovie,Christmas in Louisiana,Christmas in Louisiana,0,2019,90,Romance,christmas in louisiana,5.8,623
tt10963938,tvMovie,Sweet Mountain Christmas,Sweet Mountain Christmas,0,2019,88,Romance,sweet mountain christmas,6.3,720
tt10963986,tvMovie,Magical Christmas Shoes,Magical Christmas Shoes,0,2019,87,"Comedy,Romance",magical christmas shoes,6.3,626
tt10964186,tvMovie,Christmas 9 to 5,Christmas 9 to 5,0,2019,87,Drama,christmas 9 to 5,6.2,705
tt10964214,tvMovie,A Doggone Christmas,Christmas Unleashed,0,2019,86,Romance,a doggone christmas,5.8,541
tt10964346,tvMovie,Grounded for Christmas,Grounded for Christmas,0,2019,86,"Comedy,Romance",grounded for christmas,6.3,1308
tt10964516,tvMovie,You Light Up My Christmas,You Light Up My Christmas,0,2019,90,"Drama,Romance",you light up my christmas,5.7,428
tt10964532,tvMovie,The Christmas Temp,The Christmas Temp,0,2019,87,"Comedy,Romance",the christmas temp,5.5,476
tt10979386,tvMovie,Christmas Matchmakers,Christmas Matchmakers,0,2019,87,"Family,Romance",christmas matchmakers,5.5,476
tt10993786,movie,Middleton Christmas,Middleton Christmas,0,2020,92,Romance,middleton christmas,5.5,289
tt11020096,tvMovie,Twas the Chaos before Christmas,Twas the Chaos before Christmas,0,2019,83,Family,twas the chaos before christmas,7.0,176
tt1105269,tvMovie,Christmas in Paradise,Christmas in Paradise,0,2007,89,"Comedy,Drama",christmas in paradise,6.2,481
tt1105274,video,The Family Holiday,The Family Holiday,0,2007,94,"Comedy,Family",the family holiday,5.7,495
tt11057644,movie,The Christmas Chronicles: Part Two,The Christmas Chronicles: Part Two,0,2020,112,"Adventure,Comedy,Family",the christmas chronicles part two,6.0,35342
tt11060704,tvMovie,A Christmas Recipe for Romance,A Christmas Recipe for Romance,0,2019,88,Romance,a christmas recipe for romance,5.6,603
tt11068326,tvMovie,Time for You to Come Home for Christmas,Time for You to Come Home for Christmas,0,2019,84,"Drama,Romance",time for you to come home for christmas,7.0,1294
tt11090180,tvMovie,One Fine Christmas,One Fine Christmas,0,2019,,"Comedy,Drama",one fine christmas,6.2,188
tt11090204,tvMovie,Carole's Christmas,Carole's Christmas,0,2019,,"Comedy,Drama",caroles christmas,5.3,181
tt11090230,tvMovie,Baking Christmas,Baking Christmas,0,2019,84,"Comedy,Drama,Romance",baking christmas,6.1,190
tt11096888,tvMovie,A Christmas Movie Christmas,A Christmas Movie Christmas,0,2019,88,"Comedy,Fantasy,Romance",a christmas movie christmas,5.6,1533
tt11100776,tvMovie,Christmas on My Mind,Christmas on My Mind,0,2019,84,"Comedy,Drama,Romance",christmas on my mind,6.5,1792
tt11120440,tvMovie,Christmas Belles,Christmas Belles,0,2019,85,Comedy,christmas belles,6.0,179
tt1112097,tvMovie,All I Want for Christmas,All I Want for Christmas,0,2007,86,"Family,Romance",all i want for christmas,5.5,1142
tt11125908,movie,Merry Christmas Officer Hansel,Merry Christmas Officer Hansel,0,2022,91,"Comedy,Family",merry christmas officer hansel,6.0,34
tt11141290,video,Framed for the Holidays,Framed for the Holidays,0,2018,63,"Comedy,Mystery",framed for the holidays,7.5,15
tt11151688,tvMovie,Christmas in Montana,Christmas in Montana,0,2019,82,"Drama,Romance",christmas in montana,6.6,1226
tt11171322,tvMovie,Our Christmas Love Song,Our Christmas Love Song,0,2019,82,"Drama,Music,Romance",our christmas love song,6.3,1106
tt11192428,movie,The Christmas Doodle,The Christmas Doodle,0,2021,60,Family,the christmas doodle,4.3,55
tt11193190,tvMovie,A Homecoming for the Holidays,A Homecoming for the Holidays,0,2019,84,"Drama,Family,Romance",a homecoming for the holidays,6.6,1038
tt11193888,tvMovie,A Family Reunion Christmas,A Family Reunion Christmas,0,2019,28,"Comedy,Family",a family reunion christmas,5.9,289
tt11225428,tvMovie,The Kacey Musgraves Christmas Show,The Kacey Musgraves Christmas Show,0,2019,45,Music,the kacey musgraves christmas show,7.2,537
tt11230402,tvMovie,My Best Friend's Christmas,My Best Friend's Christmas,0,2019,90,"Comedy,Drama,Romance",my best friends christmas,5.1,603
tt11241514,tvMovie,A Cheerful Christmas,Christmas Coach,0,2019,83,"Drama,Romance",a cheerful christmas,5.0,1105
tt1125861,video,The Christmas Elves,The Christmas Elves,0,1995,48,"Animation,Family",the christmas elves,7.1,144
tt1125873,video,The Night Before Christmas,The Night Before Christmas,0,1994,48,"Animation,Family,Fantasy",the night before christmas,5.9,741
tt11260886,movie,The Christmas Dance,The Christmas Dance,0,2021,94,"Drama,Family,Romance",the christmas dance,4.6,294
tt1127697,video,LeapFrog: A Tad of Christmas Cheer,LeapFrog: A Tad of Christmas Cheer,0,2007,31,"Animation,Family,Short",leapfrog a tad of christmas cheer,8.0,35
tt11290298,tvMovie,Christmas Stars,Christmas Stars,0,2019,88,"Comedy,Drama,Music",christmas stars,6.2,449
tt11318886,movie,Christmas in the Jungle,Christmas in the Jungle,0,2020,93,,christmas in the jungle,5.2,76
tt1132143,video,A Christmas Celebration: Live from Dublin,A Christmas Celebration: Live from Dublin,0,2007,66,"Documentary,Music",a christmas celebration live from dublin,8.6,50
tt11324626,movie,The Last Christmas Party,The Last Christmas Party,0,2020,84,"Drama,Romance",the last christmas party,3.8,134
tt1132578,movie,Summer Holiday,Boogie,0,2008,103,"Comedy,Drama",summer holiday,7.0,2210
tt11353048,video,Yoda Baby: a Very Merry Mandalorian Christmas,Yoda Baby: a Very Merry Mandalorian Christmas,0,2019,4,"Comedy,Short",yoda baby a very merry mandalorian christmas,5.1,14
tt11354244,movie,Community Theater Christmas,Community Theater Christmas,0,2019,103,Comedy,community theater christmas,7.5,55
tt11357028,movie,12 Pups of Christmas,12 Pups of Christmas,0,2019,85,"Drama,Family,Romance",12 pups of christmas,3.9,947
tt11358194,movie,Christmas Cheer,Christmas Cheer,0,2023,,"Drama,Family",christmas cheer,3.8,48
tt1136606,tvMovie,Carols for Christmas,Carols for Christmas,0,1985,59,Music,carols for christmas,6.5,11
tt11371224,movie,"Merry Christmas, Yiwu","Merry Christmas, Yiwu",0,2020,93,Documentary,merry christmas yiwu,6.7,85
tt11378154,movie,The App That Stole Christmas,The App That Stole Christmas,0,2020,63,Comedy,the app that stole christmas,2.7,760
tt11383142,movie,Greyson Family Christmas,Greyson Family Christmas,0,2021,87,"Comedy,Drama,Family",greyson family christmas,6.1,187
tt11386622,movie,CBeebies Christmas Show: Hansel & Gretel,CBeebies Christmas Show: Hansel & Gretel,0,2019,,"Family,Musical",cbeebies christmas show hansel  gretel,7.0,11
tt1139113,tvMovie,The Little Rascals' Christmas Special,The Little Rascals' Christmas Special,0,1979,30,"Animation,Family",the little rascals christmas special,7.1,53
tt1139659,video,Fay's 12 Days of Christmas,Fay's 12 Days of Christmas,0,1995,25,"Comedy,Family,Short",fays 12 days of christmas,7.7,62
tt11417166,movie,The Heist Before Christmas,The Heist Before Christmas,0,2023,90,"Comedy,Drama",the heist before christmas,5.2,571
tt1141984,tvMovie,My Friends Tigger and Pooh - Super Sleuth Christmas Movie,Pooh's Super Sleuth Christmas Movie,0,2007,44,"Adventure,Animation,Comedy",my friends tigger and pooh  super sleuth christmas movie,5.3,255
tt11421878,tvMovie,Lucy Worsley's Christmas Carol Odyssey,Lucy Worsley's Christmas Carol Odyssey,0,2019,,"Documentary,History,Music",lucy worsleys christmas carol odyssey,7.5,55
tt11422336,tvMovie,Christmas in Vienna,Best Christmas Ball Ever,0,2019,90,"Drama,Romance",christmas in vienna,5.9,568
tt11427974,movie,The Christmas Ride,The Christmas Ride,0,2020,70,"Drama,Family",the christmas ride,6.6,608
tt11437784,movie,Christmas Cars,Christmas Cars,0,2019,99,Family,christmas cars,3.1,202
tt11455096,tvMovie,A Berry Royal Christmas,A Berry Royal Christmas,0,2019,58,Documentary,a berry royal christmas,8.6,26
tt11457736,movie,My Dad's Christmas Date,My Dad's Christmas Date,0,2020,91,"Comedy,Drama,Family",my dads christmas date,5.5,2072
tt1146278,video,Bikini Bloodbath Christmas,Bikini Bloodbath Christmas,0,2009,71,"Comedy,Horror",bikini bloodbath christmas,3.9,191
tt1146294,tvMovie,A Scooby-Doo! Christmas,A Scooby-Doo! Christmas,0,2002,22,"Adventure,Animation,Comedy",a scoobydoo christmas,6.8,445
tt1147654,video,Toot & Puddle: I'll Be Home for Christmas,Toot & Puddle: I'll Be Home for Christmas,0,2006,46,"Animation,Family",toot  puddle ill be home for christmas,7.4,49
tt11488988,tvMovie,A Merry Tudor Christmas with Lucy Worsley,A Merry Tudor Christmas with Lucy Worsley,0,2019,60,"Documentary,History",a merry tudor christmas with lucy worsley,8.0,183
tt1149589,tvMovie,Christmas Is,Christmas Is,0,1970,30,"Animation,Family",christmas is,4.9,135
tt11508080,tvMovie,A Crafty Christmas Romance,A Crafty Christmas Romance,0,2020,84,Romance,a crafty christmas romance,5.5,588
tt1150958,tvMovie,Radio City Christmas Spectacular,Radio City Christmas Spectacular,0,2007,84,"Family,Musical",radio city christmas spectacular,7.0,116
tt1151447,video,An Angel for Christmas,An Angel for Christmas,0,1996,45,"Animation,Family",an angel for christmas,6.4,55
tt1151915,movie,Nothing Like the Holidays,Nothing Like the Holidays,0,2008,98,"Comedy,Drama,Romance",nothing like the holidays,6.1,4665
tt1152404,movie,"X-mas, Inc.","Navidad, S.A.",0,2008,110,"Comedy,Fantasy",xmas inc,5.4,136
tt11536760,video,A Christmas Carol,A Christmas Carol,0,2020,99,Musical,a christmas carol,3.4,24
tt11540284,movie,8-Bit Christmas,8-Bit Christmas,0,2021,97,"Comedy,Family",8bit christmas,6.7,21387
tt1155051,tvMovie,Christmas at the Riviera,Christmas at the Riviera,0,2007,94,Comedy,christmas at the riviera,6.0,229
tt11585172,tvMovie,Much Ado About Christmas,Much Ado About Christmas,0,2021,85,"Drama,Family,Romance",much ado about christmas,6.8,1056
tt11585200,tvMovie,The Christmas Waltz,Christmas Waltz,0,2020,83,"Drama,Family,Romance",the christmas waltz,6.9,2420
tt1159198,tvMovie,An Accidental Christmas,An Accidental Christmas,0,2007,90,"Comedy,Family,Romance",an accidental christmas,4.5,612
tt1159925,tvMovie,Christmas at Cadillac Jack's,Christmas at Cadillac Jack's,0,2007,58,Family,christmas at cadillac jacks,6.7,278
tt11615500,tvMovie,Candy Cane Christmas,Candy Cane Christmas,0,2020,91,"Comedy,Drama,Romance",candy cane christmas,5.6,763
tt11637974,tvMovie,A Taste of Christmas,A Taste of Christmas,0,2020,91,"Comedy,Romance",a taste of christmas,5.6,632
tt11640628,movie,The Business of Christmas,The Business of Christmas,0,2020,105,Family,the business of christmas,6.0,57
tt1164729,tvMovie,Charles Dickens & the Invention of Christmas,Charles Dickens & the Invention of Christmas,0,2007,59,Documentary,charles dickens  the invention of christmas,7.6,42
tt1164730,tvMovie,The Comedy Christmas,The Comedy Christmas,0,2007,69,Documentary,the comedy christmas,4.8,12
tt11649070,video,Last Christmas: Emilia Sings,Last Christmas: Emilia Sings,0,2019,1,"Documentary,Short",last christmas emilia sings,8.8,22
tt11666938,tvMovie,Inn Love by Christmas,Inn for Christmas,0,2020,88,"Comedy,Drama,Romance",inn love by christmas,5.9,792
tt11667022,tvMovie,The Christmas Ball,The Christmas Ball,0,2020,87,"Drama,Romance",the christmas ball,5.3,417
tt1169852,tvMovie,The Filmmaker's Holiday,Vakantie van de filmer,0,1974,37,Documentary,the filmmakers holiday,6.5,46
tt11702278,movie,A Wrestling Christmas Miracle,A Wrestling Christmas Miracle,0,2020,90,"Comedy,Drama,Family",a wrestling christmas miracle,2.1,179
tt11738870,tvMovie,Christmas on Ice,Christmas on Ice,0,2020,87,Romance,christmas on ice,6.1,1130
tt11753704,tvMovie,The Christmas Listing,Christmas Inn Farmstead,0,2020,84,"Drama,Romance",the christmas listing,5.2,597
tt1175514,tvMovie,The First Christmas,The First Christmas,0,1979,25,Animation,the first christmas,6.8,20
tt11764856,movie,A Christmas Cancellation,Cancellation,0,2020,92,Drama,a christmas cancellation,4.2,81
